Country,Sub Region,Region,GER - Primary - Capped to 100 pc,GER - Secondary - Capped to 100 pc,"Gross enrolment ratio, tertiary, both sexes (%)",Resource Dependence,GDP per capita
Italy,Southern Europe,Europe,100,100,65.238865,0.2,35179.65395
Jamaica,Caribbean,Americas,97.24514,87.61360667,24.26030667,1.7,5119.218417
Japan,Eastern Asia,Asia,100,100,58.065542,0,36152.69002
Jordan,Western Asia,Asia,97.85128125,90.096365,41.55443667,1,4830.976915
Kazakhstan,Central Asia,Asia,100,100,50.41185333,27.5,13154.84459
Kenya,Eastern Africa,Africa,100,55.04828,3.3115,2.9,1368.491132
Kiribati,Micronesia,Oceania,100,88.24287,,0.2,1509.521187
Kuwait,Western Asia,Asia,100,97.73074182,23.695535,54.5,43593.70202
Latvia,Northern Europe,Europe,100,100,73.09917455,2.6,15692.19156
Lebanon,Western Asia,Asia,100,76.298335,46.26853273,0,8148.639167
Lesotho,Southern Africa,Africa,100,46.43976455,7.67364,5.6,1034.185288
Liberia,Western Africa,Africa,96.690112,41.515135,10.468725,28.1,457.8585865
Libya,Northern Africa,Africa,100,98.20936,,36.8,6573.386737
Liechtenstein,Western Europe,Europe,100,100,35.21162778,0,0
Lithuania,Northern Europe,Europe,98.77469364,100,79.78012909,1.2,16489.72898
Luxembourg,Western Europe,Europe,99.14621444,98.44238,14.65621,0.1,116612.8842
Madagascar,Eastern Africa,Africa,100,30.50042375,3.452818,10.9,467.1303343
Malawi,Eastern Africa,Africa,100,32.23570818,0.56925,12.5,362.2474866
Malaysia,South-Eastern Asia,Asia,100,69.20761727,33.15429,8.2,11307.06495
Maldives,Southern Asia,Asia,100,69.8194,11.852775,0,7640.647153
Mali,Western Africa,Africa,78.35844909,34.038696,6.087778,13,842.1143372
Malta,Southern Europe,Europe,93.61454727,94.748283,39.06432455,0,0
Marshall Islands,Micronesia,Oceania,100,89.00051667,42.86175,..,3529.748303
Mauritania,Western Africa,Africa,94.17134455,23.487829,4.082395,33.6,1370.985212
Mauritius,Eastern Africa,Africa,100,90.12170182,30.26666273,0,10002.87048
Mexico,Central America,Americas,100,83.24777909,25.82145273,6.3,10350.81469
Monaco,Western Europe,Europe,,,,..,0
Mongolia,Eastern Asia,Asia,100,91.32843167,52.24001455,22.1,4201.737711
Montenegro,Southern Europe,Europe,100,95.57144889,35.61828714,0.7,7378.044404
Morocco,Northern Africa,Africa,100,57.96607556,15.49204364,2.7,3190.310444
Mozambique,Eastern Africa,Africa,100,20.13985364,3.917388889,13.6,622.6380644
Myanmar,South-Eastern Asia,Asia,98.0927825,47.00681625,12.75415333,10.2,1203.844721
Namibia,Southern Africa,Africa,100,63.9093725,7.586863333,2.4,5342.94446
Nepal,Southern Asia,Asia,100,56.238143,11.730704,7.1,701.6800634
Netherlands,Western Europe,Europe,100,100,64.95305778,0.5,52138.68392
New Zealand,Australia and New Zealand,Oceania,99.70427545,100,80.74063545,1.6,44380.42658
Nicaragua,Central America,Americas,100,70.82885667,,8.8,1960.490908
Niger,Western Africa,Africa,59.47054,13.02832909,1.286798889,16.1,431.3816821
Nigeria,Western Africa,Africa,92.74865857,36.15594,10.12924,12.5,3203.244296
North America,#N/A,#N/A,100,87.99701727,60.02866364,1.4,53982.33165
Norway,Northern Europe,Europe,99.35547727,100,75.27973545,9.1,97429.70848
Oman,Western Asia,Asia,99.25858444,94.33567333,22.2341025,30.1,19309.61245
Pakistan,Southern Asia,Asia,90.57057091,34.67928091,7.083893,3.4,1315.267622
Palau,Micronesia,Oceania,100,100,61.8638,..,11892.68616
Panama,Central America,Americas,100,71.49866,42.806079,0.5,12712.43133
Papua New Guinea,Melanesia,Oceania,69.394464,40.34632,,29.6,2268.172539
Paraguay,South America,Americas,100,68.50656333,31.15396833,5.1,4712.870205
Peru,South America,Americas,100,91.81115182,35.31546,8.7,6549.389229
Philippines,South-Eastern Asia,Asia,100,83.32183571,30.310406,2.9,2872.512165
Poland,Eastern Europe,Europe,98.139948,98.408654,68.452917,1.4,14337.20637
Portugal,Southern Europe,Europe,100,100,62.13350727,0.6,22124.36709
Puerto Rico,Caribbean,Americas,90.931592,81.338424,82.21884143,..,0
Qatar,Western Asia,Asia,98.18312625,100,13.64533909,28.2,96732.52903
Romania,Eastern Europe,Europe,100,93.33979909,56.86417818,1.7,10011.78592
Russian Federation,Eastern Europe,Europe,98.18499444,88.99285,74.979208,16.2,13902.14285
Rwanda,Eastern Africa,Africa,100,27.80570182,4.810999,6.1,697.6265013
Samoa,Polynesia,Oceania,100,85.21043333,,0.8,4172.2171
San Marino,Southern Europe,Europe,93.1408975,95.59448,62.99629,..,0
Sao Tome and Principe,Middle Africa,Africa,100,53.672497,6.5625225,2.4,1810.721562
Saudi Arabia,Western Asia,Asia,99.81552889,97.633682,38.33516273,41.1,24406.46782
Senegal,Western Africa,Africa,80.662156,28.523055,6.433152857,4.4,1067.131753
Serbia,Southern Europe,Europe,100,91.37691455,49.73445909,3,6200.173221
Seychelles,Eastern Africa,Africa,100,76.607054,3.33308,0.1,15563.79422
Sierra Leone,Western Africa,Africa,100,45.63831667,,7.5,792.5835504
Slovenia,Southern Europe,Europe,100,100,83.40213091,0.5,24001.88013
Solomon Islands,Melanesia,Oceania,100,41.00695167,,41,2024.202861
Somalia,Eastern Africa,Africa,29.2021,7.35304,,14.6,542.615884
South Africa,Southern Africa,Africa,98.29602455,90.94485636,19.32843,7.6,6472.101027
South Sudan,Eastern Africa,Africa,84.24507,,,..,1115.093515
Spain,Southern Europe,Europe,100,100,76.43257727,0.1,29718.50022
Sri Lanka,Southern Asia,Asia,98.96550818,98.8559725,17.679202,0.7,3852.88076
Sudan,Northern Africa,Africa,67.377953,38.459333,13.904755,6.4,1875.843287
Suriname,South America,Americas,100,75.83873571,,15.3,9680.115914
Swaziland,Southern Africa,Africa,100,54.58287444,5.189848,1.9,3477.149246
Sweden,Northern Europe,Europe,100,100,73.33141182,1,58899.97979
Switzerland,Western Europe,Europe,100,96.21001545,50.87783091,0,85610.84203
Syrian Arab Republic,Western Asia,Asia,100,70.017528,24.226371,..,0
Tajikistan,Central Asia,Asia,98.73277727,83.622551,22.36799545,1.8,1113.366354
Thailand,South-Eastern Asia,Asia,98.05473455,79.112517,48.51418,3.7,5969.940116
Timor-Leste,South-Eastern Asia,Asia,100,63.89814889,17.376835,..,1131.230851
Togo,Western Africa,Africa,100,46.675346,8.636308571,7.8,629.9976439
Tonga,Polynesia,Oceania,100,100,,0.1,4114.052115
Trinidad and Tobago,Caribbean,Americas,100,85.51154,11.95117,17.3,21317.44927
Tunisia,Northern Africa,Africa,100,88.762958,33.58702,5.2,4328.904197
Turkey,Western Asia,Asia,100,87.313538,48.959111,0.6,10303.8988
Turkmenistan,Central Asia,Asia,89.3672,85.34142,7.98444,20.6,8193.720297
Tuvalu,Polynesia,Oceania,99.5096875,80.76664,,..,3826.903311
Uganda,Eastern Africa,Africa,100,24.31321667,3.940468333,11.3,714.5673565
Ukraine,Eastern Europe,Europe,100,97.09574818,79.30568091,8.1,3065.164223
United Arab Emirates,Western Asia,Asia,100,,15.99611375,20.5,43962.71369
United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,100,100,58.34486,0.7,#N/A
United Republic of Tanzania,Eastern Africa,Africa,100,32.54823,2.487238,6.1,954.618988
United States of America,Northern America,Americas,100,95.59172545,87.55325818,1.1,54398.46001
Uruguay,South America,Americas,100,95.36932,55.49706429,3.7,16737.9731
Uzbekistan,Central Asia,Asia,99.0687975,93.36238625,10.4021975,13.7,2052.586781
Vanuatu,Melanesia,Oceania,100,51.14416,4.7444,1.5,3147.96486
Venezuela (Bolivarian Republic of),South America,Americas,100,80.84009364,65.3293,25.7,#N/A
Viet Nam,South-Eastern Asia,Asia,100,,21.814198,7.6,2052.319084
Yemen,Western Asia,Asia,91.38242714,45.54519571,10.158175,15.6,#N/A
Zambia,Eastern Africa,Africa,100,,,16.1,1725.974549
Zimbabwe,Eastern Africa,Africa,100,47.121685,5.867445,9.6,931.1981847
